gene,logFC,AveExpr,t,PValue,FDR,B,DE_status,timepoint,cell_type
IFIT2,0.484696574557877,2.58247792,1.94680827809552,0.073271078733168,0.804251300283171,-4.03351388687881,NS,1_month,B Cell
IFIT3,0.500397495930466,1.19466987733333,1.84045698173939,0.0884061376848017,0.816845299099684,-4.12559661540628,NS,1_month,B Cell
CXCR4,-0.243292368770095,7.11134853333333,-1.68940993245358,0.114729916446234,0.825907288035581,-4.25264089213637,NS,1_month,B Cell
HAVCR2,0.369674255289389,1.27983417533333,1.62447722973914,0.128024419890793,0.834874721559051,-4.3056672284408,NS,1_month,B Cell
PDCD1,0.249946487136254,0.510026016,1.46615112398213,0.166142349803552,0.84632172018853,-4.43023401697292,NS,1_month,B Cell
CD40LG,0.388299658894694,1.24674680733333,1.36864744287419,0.194069910857214,0.857334985115391,-4.50316249472794,NS,1_month,B Cell
CCR4,0.318458804686495,0.973694068666667,1.26116093626145,0.229197417973277,0.866851195261157,-4.57976162753691,NS,1_month,B Cell
GZMK,-0.563951410926447,1.555704944,-1.23677444825305,0.237834846572898,0.867714335173729,-4.59654460489477,NS,1_month,B Cell
CXCR5,-0.136144747186495,5.06896815333333,-1.23282265296436,0.239258427094283,0.867714335173729,-4.59924265782031,NS,1_month,B Cell
GZMA,-0.402675114425241,2.08354652533333,-1.1003979418295,0.290922985505115,0.887090130018841,-4.6860084706181,NS,1_month,B Cell
ITGB1,0.291115519272509,4.37504208,1.00873666185041,0.331328641841987,0.894571582725408,-4.74166159986707,NS,1_month,B Cell
ALAS2,-0.526903442343248,1.05334727333333,-0.664796352978417,0.517686606798751,0.933078342946656,-4.91394109053972,NS,1_month,B Cell
CCR6,-0.106841044393088,3.45850694,-0.601745243714892,0.557591000207302,0.939482430988032,-4.9386574731461,NS,1_month,B Cell
ISG15,0.0998725333400312,3.63439611333333,0.55603777593984,0.587535308714082,0.946444490577219,-4.95515010861879,NS,1_month,B Cell
TNF,-0.12708313199357,2.64872536,-0.49977484062606,0.625503408364367,0.952538246827019,-4.97377252880436,NS,1_month,B Cell
PRF1,-0.132436479409164,1.83551759266667,-0.452695813760095,0.65815685464139,0.961136366995865,-4.98790704339474,NS,1_month,B Cell
CTLA4,0.0677131865434082,1.28378304266667,0.187949941179866,0.853789291110515,0.98836856092987,-5.04197855149388,NS,1_month,B Cell
TIGIT,0.0268437376607715,1.40709819333333,0.124149185128856,0.903077524928,0.99295457696004,-5.0483906185147,NS,1_month,B Cell
GZMB,-0.0152776740554665,1.96366127333333,-0.0477466542829361,0.962636730591807,0.995759800887008,-5.05262721311709,NS,1_month,B Cell
LAG3,0.00557426515072312,0.93694664,0.0287142816744288,0.977524301144516,0.997659935004749,-5.05309701408394,NS,1_month,B Cell
IFIT2,0.766299527150322,2.57920179333333,3.18786963600076,0.00671489336402473,0.893916589986568,-3.60854338329816,NS,1_month,CD14 Monocyte
