cell_type,timepoint,mean_LC,mean_Recovered,sd_LC,sd_Recovered,n_LC,n_Recovered,p_val
B Cell,1_month,0.1205,0.1344,0.1027,0.1862,14,20,0.472174740880134
B Cell,6_month,0.1126,0.0849,0.0878,0.0404,14,20,0.371162696965669
CD14+ Monocyte,1_month,0.1655,0.1745,0.0997,0.1234,14,20,0.792528459407958
CD14+ Monocyte,6_month,0.2362,0.1451,0.1318,0.1017,14,20,0.0110027725038877
CD16+ Monocyte,1_month,0.0133,0.0279,0.0096,0.0234,14,20,0.0236945114712545
CD16+ Monocyte,6_month,0.0239,0.0283,0.0103,0.0234,14,20,0.90230766159767
CD8+ T Cell,1_month,0.1419,0.1341,0.0614,0.0543,14,20,0.792528459407958
CD8+ T Cell,6_month,0.1544,0.1249,0.0641,0.0516,14,20,0.118609436544077
Lymphocyte,1_month,0.2312,0.1916,0.0817,0.1218,14,20,0.450839852927108
Lymphocyte,6_month,0.1705,0.2386,0.0637,0.1086,14,20,0.0606180244308582
Memory CD4+ T Cell,1_month,0.144,0.1526,0.0567,0.0702,14,20,0.586721823021887
Memory CD4+ T Cell,6_month,0.1286,0.1743,0.0607,0.0469,14,20,0.0283863076315105
NK Cell,1_month,0.0781,0.0876,0.0238,0.0453,14,20,0.792528459407958
NK Cell,6_month,0.0899,0.0897,0.0329,0.0318,14,20,0.539391361428589
Naive CD4+ T Cell,1_month,0.0405,0.0431,0.0202,0.0191,14,20,0.686719692401507
Naive CD4+ T Cell,6_month,0.0368,0.0506,0.0171,0.0308,14,20,0.390215244641942
Naive CD8+ T Cell,1_month,0.0578,0.0432,0.0214,0.0279,14,20,0.118609436544077
Naive CD8+ T Cell,6_month,0.0379,0.0565,0.0158,0.0333,14,20,0.0765507407228623
cDC2,1_month,0.0071,0.0112,0.0032,0.0077,14,20,0.0708979737620435
cDC2,6_month,0.0093,0.0072,0.0045,0.0022,14,20,0.450839852927108
