gene,logFC,AveExpr,PValue,FDR,timepoint,cell_type
CXCR4,-0.0453607250000001,7.1135149875,0.666024084009613,0.99730372883556,1_month,B Cell
CTLA4,-0.0766735499999998,1.35063405,0.902766083904424,0.998019199281071,1_month,B Cell
PDCD1,0.0495363175,0.55138247375,0.838838457773057,0.99730372883556,1_month,B Cell
CCR4,0.2511945375,1.11183558125,0.628908462684724,0.99730372883556,1_month,B Cell
TIGIT,-0.178279975,1.3397758375,0.550845710353979,0.99730372883556,1_month,B Cell
GZMK,-1.245685165,1.5098690175,0.0983246301490492,0.99730372883556,1_month,B Cell
GZMA,-0.87997068,2.11675671,0.181573284354992,0.99730372883556,1_month,B Cell
HAVCR2,0.5871617425,1.43572532875,0.0446598485343759,0.99730372883556,1_month,B Cell
CCR6,-0.31582365,3.334683175,0.291235236419118,0.99730372883556,1_month,B Cell
ITGB1,-0.0774932250000004,4.3853138625,0.879351849685386,0.99730372883556,1_month,B Cell
PRF1,-0.3178442675,1.69883487375,0.588375577764211,0.99730372883556,1_month,B Cell
CXCR5,-0.0252560749999997,4.9699611125,0.905618168615129,0.998202021625839,1_month,B Cell
LAG3,-0.3302482775,0.91330044375,0.286001609515056,0.99730372883556,1_month,B Cell
GZMB,-0.160409125,1.6120092125,0.825037658477725,0.99730372883556,1_month,B Cell
CD40LG,0.334287625,1.5500689875,0.586433033242872,0.99730372883556,1_month,B Cell
CXCR4,0.10353905,5.39826335,0.721397551681922,0.962757745963728,1_month,CD14+ Monocyte
CTLA4,-0.291433615,1.2427598675,0.11362232676631,0.954162227582658,1_month,CD14+ Monocyte
PDCD1,-0.2455776,1.08075856,0.322002552636878,0.954162227582658,1_month,CD14+ Monocyte
CCR4,-0.0902795125,0.68009681875,0.809649763773499,0.97344401333145,1_month,CD14+ Monocyte
TIGIT,-0.0642478400000001,0.8009615625,0.805395706364728,0.972671779520937,1_month,CD14+ Monocyte
GZMK,-0.3100323125,1.23052316875,0.61352347053969,0.956511702291628,1_month,CD14+ Monocyte
GZMA,-0.718477425,2.1465651625,0.122780874112723,0.954162227582658,1_month,CD14+ Monocyte
HAVCR2,-0.293521725,4.4362965125,0.0952927729439139,0.954162227582658,1_month,CD14+ Monocyte
CCR6,-0.5367673125,1.12358749375,0.37168265841985,0.954162227582658,1_month,CD14+ Monocyte
ITGB1,-0.123901924999999,5.3752852875,0.551168177092177,0.954949223234685,1_month,CD14+ Monocyte
PRF1,-0.167948975,2.0246976875,0.701157866543285,0.961745610480783,1_month,CD14+ Monocyte
CXCR5,-0.3226964325,1.78495333375,0.579856306027321,0.954949223234685,1_month,CD14+ Monocyte
LAG3,-0.2772672375,0.54193748125,0.49567122370186,0.954162227582658,1_month,CD14+ Monocyte
GZMB,0.156467425,2.4001741375,0.702162017310241,0.961745610480783,1_month,CD14+ Monocyte
CD40LG,0.0420074875000001,1.10378179375,0.919665119589399,0.989836711957917,1_month,CD14+ Monocyte
CXCR4,0.760957400000001,5.22346455,0.212456745789945,0.867905545342464,1_month,CD16+ Monocyte
CTLA4,0.306171,0.940120875,0.594259284877071,0.905171259973511,1_month,CD16+ Monocyte
PDCD1,0.112556,0.1565454,0.655820688087418,0.91745261092348,1_month,CD16+ Monocyte
CCR4,-0.5693657775,0.37715246875,0.116649457833571,0.867905545342464,1_month,CD16+ Monocyte
TIGIT,-0.1075758675,0.21360807375,0.654864315017219,0.91745261092348,1_month,CD16+ Monocyte
