cell_type,timepoint,mean_LC,mean_Recovered,sd_LC,sd_Recovered,n_LC,n_Recovered,p_val
B Cell,1_month,0.1295,0.0931,0.1378,0.0477,4,4,1
B Cell,6_month,0.1111,0.1054,0.1184,0.0573,4,4,0.685714285714286
CD14+ Monocyte,1_month,0.1384,0.1391,0.1057,0.0195,4,4,0.885714285714286
CD14+ Monocyte,6_month,0.2327,0.1248,0.136,0.03,4,4,0.0285714285714286
CD16+ Monocyte,1_month,0.0105,0.0249,0.0083,0.0108,4,4,0.0571428571428571
CD16+ Monocyte,6_month,0.0187,0.0186,0.0066,0.0107,4,4,1
CD8+ T Cell,1_month,0.103,0.1374,0.0465,0.0686,4,4,0.485714285714286
CD8+ T Cell,6_month,0.1286,0.1284,0.0622,0.0659,4,4,1
Lymphocyte,1_month,0.2807,0.2256,0.0631,0.1318,4,4,0.685714285714286
Lymphocyte,6_month,0.1939,0.262,0.0711,0.1297,4,4,0.485714285714286
Memory CD4+ T Cell,1_month,0.1511,0.1735,0.0706,0.0288,4,4,0.485714285714286
Memory CD4+ T Cell,6_month,0.1327,0.1735,0.0672,0.0293,4,4,0.342857142857143
NK Cell,1_month,0.0741,0.0885,0.0314,0.05,4,4,0.685714285714286
NK Cell,6_month,0.0893,0.0732,0.0446,0.0254,4,4,0.485714285714286
Naive CD4+ T Cell,1_month,0.0405,0.0492,0.0143,0.0256,4,4,0.885714285714286
Naive CD4+ T Cell,6_month,0.0375,0.0416,0.0203,0.0091,4,4,1
Naive CD8+ T Cell,1_month,0.0646,0.0591,0.025,0.0295,4,4,0.685714285714286
Naive CD8+ T Cell,6_month,0.0453,0.0655,0.0167,0.0269,4,4,0.2
cDC2,1_month,0.0077,0.0096,0.0041,0.0037,4,4,0.685714285714286
cDC2,6_month,0.0103,0.007,0.0055,0.0018,4,4,0.342857142857143
