gene,logFC,AveExpr,PValue,FDR,timepoint,cell_type
CXCR4,-0.0453607250000001,7.1135149875,0.666024084009613,0.99730372883556,1_month,B Cell
CCR4,0.2511945375,1.11183558125,0.628908462684724,0.99730372883556,1_month,B Cell
CCR6,-0.31582365,3.334683175,0.291235236419118,0.99730372883556,1_month,B Cell
CXCR5,-0.0252560749999997,4.9699611125,0.905618168615129,0.998202021625839,1_month,B Cell
ALAS2,-1.27313025,0.636565125,0.391002218955771,0.99730372883556,1_month,B Cell
CXCR4,0.10353905,5.39826335,0.721397551681922,0.962757745963728,1_month,CD14+ Monocyte
CCR4,-0.0902795125,0.68009681875,0.809649763773499,0.97344401333145,1_month,CD14+ Monocyte
CCR6,-0.5367673125,1.12358749375,0.37168265841985,0.954162227582658,1_month,CD14+ Monocyte
CXCR5,-0.3226964325,1.78495333375,0.579856306027321,0.954949223234685,1_month,CD14+ Monocyte
ALAS2,-0.55462849,1.070852455,0.641630669569526,0.956511702291628,1_month,CD14+ Monocyte
CXCR4,0.760957400000001,5.22346455,0.212456745789945,0.867905545342464,1_month,CD16+ Monocyte
CCR4,-0.5693657775,0.37715246875,0.116649457833571,0.867905545342464,1_month,CD16+ Monocyte
CCR6,0.5486256,0.68343505,0.422760556223862,0.873850396539914,1_month,CD16+ Monocyte
CXCR5,0.025296655,1.0057661275,0.970336675457691,0.995470850223243,1_month,CD16+ Monocyte
ALAS2,0.09246958,0.04623479,0.391002218955771,0.867905545342464,1_month,CD16+ Monocyte
CXCR4,0.0262274250000001,7.3060980375,0.889938517121481,0.996111656532847,1_month,CD8+ T Cell
CCR4,-0.4576735125,1.50209201875,0.472756273027366,0.990232396730102,1_month,CD8+ T Cell
CCR6,-0.1164514,3.00940675,0.866555866878805,0.994090912003497,1_month,CD8+ T Cell
CXCR5,-0.411134425,1.6958975375,0.283841405651754,0.990232396730102,1_month,CD8+ T Cell
ALAS2,-0.878058925,0.4390294625,0.331732655099434,0.990232396730102,1_month,CD8+ T Cell
CXCR4,0.291597775,6.3671513375,0.269725717142807,0.880252389143182,1_month,cDC2
CCR4,-0.0988885,0.04944425,0.391002218955771,0.880252389143182,1_month,cDC2
CCR6,-0.0768553150000002,1.5128105575,0.905428115586792,0.981520646471362,1_month,cDC2
CXCR5,-0.385264,0.768913325,0.502415788150478,0.889486152227048,1_month,cDC2
ALAS2,-0.5750621,0.28753105,0.391002218955771,0.880252389143182,1_month,cDC2
CXCR4,-0.0203771250000004,6.6893120375,0.678410097465689,0.958994707605856,1_month,Lymphocyte
CCR4,0.643881525,1.2674855375,0.195840369085846,0.947888740027352,1_month,Lymphocyte
CCR6,-0.50291775,1.5225936,0.571835454693974,0.949591901212267,1_month,Lymphocyte
CXCR5,0.03030775,1.836082225,0.944542265560004,0.994204427411305,1_month,Lymphocyte
ALAS2,-1.7209317175,1.64125016625,0.306544349995608,0.947888740027352,1_month,Lymphocyte
CXCR4,0.000127875000000444,7.0651469625,0.999016730190208,0.999910970609383,1_month,Memory CD4+ T Cell
CCR4,0.3578213,3.961673175,0.151016364857163,0.940465020569642,1_month,Memory CD4+ T Cell
CCR6,-0.36542265,4.515379325,0.142575802258071,0.940465020569642,1_month,Memory CD4+ T Cell
CXCR5,-0.142260625,2.7603440125,0.679267939605667,0.952869983470873,1_month,Memory CD4+ T Cell
ALAS2,-0.1000547825,0.18831158375,0.731919343230174,0.960715562422132,1_month,Memory CD4+ T Cell
CXCR4,-0.300415325,6.6061692125,0.166577636711202,0.986743532407149,1_month,Naive CD4+ T Cell
CCR4,0.17562555,3.497671675,0.459768881459457,0.986743532407149,1_month,Naive CD4+ T Cell
