cell_type,marker1,marker2,marker3,marker4,marker5
AS-DC,AXL,SIGLEC6,LILRB1,FCER1A,ITGAX
B invar,MS4A1,CD79A,CD74,HLA-DRA,BANK1
B n-sw mem,MS4A1,IGHM,IGHD,CD27,TCL1A
B n-sw mem IFN stim,MS4A1,IGHM,ISG15,IFIT3,MX1
B naive,MS4A1,IGHM,IGHD,TCL1A,CD74
B naive IFN stim,MS4A1,IGHM,ISG15,IFIT1,MX1
B sw mem,MS4A1,CD27,IGHG1,IGHG3,AIM2
Baso/Eos,CLC,GATA2,PRG2,TPSAB1,CCR3
Cycling,MKI67,TOP2A,TYMS,HMGB2,UBE2C
HPC,CD34,AVP,GATA2,SOX4,HOPX
HPC IFN stim,CD34,ISG15,IFIT3,MX1,STAT1
ILC,IL7R,GATA3,KLRB1,TCF7,CCR6
MAIT,KLRB1,TRAV1-2,SLC4A10,IL18RAP,CCR6
Monocyte CD14,LYZ,S100A8,S100A9,CTSD,LGALS3
Monocyte CD14 IFN stim,LYZ,S100A8,ISG15,IFIT2,MX1
Monocyte CD14 IL6,LYZ,IL6,CTSD,S100A8,NFKBIA
Monocyte CD16,LYZ,FCGR3A,LST1,IFITM3,CTSS
Monocyte CD16 IFN stim,LYZ,FCGR3A,ISG15,IFIT3,MX1
Monocyte CD16+C1,LYZ,FCGR3A,C1QA,C1QB,C1QC
NK,NKG7,GNLY,KLRD1,PRF1,CTSW
NK CD56,NCAM1,XCL1,XCL2,KLRB1,IL7R
NK IFN stim,NKG7,GNLY,ISG15,IFIT1,MX1
NKT,NKG7,TRBC1,KLRD1,ZBTB16,GNLY
Plasma cells,MZB1,XBP1,SDC1,IGHG1,DERL3
Plasmablasts,MZB1,XBP1,IGHG1,JCHAIN,TNFRSF17
Platelets,PPBP,PF4,NRGN,SDPR,RGS18
RBC,HBB,HBA1,HBA2,ALAS2,GYPA
T CD4 CTL,CD3D,CD4,GZMB,PRF1,NKG7
T CD4 helper,CD3D,CD4,IL7R,CCR7,LTB
T CD4 naive,CD3D,CD4,CCR7,IL7R,TCF7
T CD4 naive IFN stim,CD3D,CD4,ISG15,IFIT3,MX1
T CD8 CM,CD3D,CD8A,IL7R,CCR7,LTB
T CD8 CTL,CD3D,CD8A,GZMB,PRF1,NKG7
T CD8 CTL IFN stim,CD3D,CD8A,ISG15,IFIT1,MX1
T CD8 EM,CD3D,CD8A,GZMK,NKG7,CCL5
T CD8 EMRA,CD3D,CD8A,GNLY,PRF1,FGFBP2
T CD8 naive,CD3D,CD8A,CCR7,IL7R,TCF7
T g/d,TRDC,TRGC1,TRGC2,NKG7,KLRD1
T reg,CD3D,CD4,FOXP3,IL2RA,CTLA4
cDC1,CLEC9A,BATF3,XCR1,CADM1,ITGAX
cDC2,CD1C,CLEC10A,FCER1A,ITGAX,LILRA4
pDC,GZMB,IRF7,SERPINF1,IL3RA,TCF4
common,CD4
